Geneid	0_R1	0_R2	10_R1	10_R2	35_R1	35_R2	Entity	Symbol	mean_counts
gene-PA4523	21	53	15	13	13	12	host	gene-PA4523	21.166666666666668
gene-PA2510	3	2	0	1	0	0	host	catR	1.0
gene-PA1759	17	13	22	26	30	25	host	gene-PA1759	22.166666666666668
gene-PA1171	4	10	3	0	0	3	host	gene-PA1171	3.3333333333333335
gene-PA3021	4	7	2	3	0	2	host	gene-PA3021	3.0
gene-PA5349	7	9	29	22	38	40	host	gene-PA5349	24.166666666666668
gene-PA2506	0	0	0	0	0	0	host	gene-PA2506	0.0
gene-PA2873	13	15	0	0	1	1	host	gene-PA2873	5.0
gene-PA3634	3	10	0	1	0	1	host	gene-PA3634	2.5
gene-PA0840	9	2	0	0	0	0	host	gene-PA0840	1.8333333333333333
gene-PA4221	19	21	0	0	2	1	host	fptA	7.166666666666667
gene-PA2179	7	3	0	0	0	0	host	gene-PA2179	1.6666666666666667
gene-PA0600	30	16	2	5	8	6	host	gene-PA0600	11.166666666666666
gene-PA3631	12	14	2	0	0	0	host	gene-PA3631	4.666666666666667
gene-PA1391	7	7	0	0	0	0	host	gene-PA1391	2.3333333333333335
gene-PA0241	16	8	0	0	0	0	host	gene-PA0241	4.0
gene-PA4029	5	9	1	1	0	0	host	gene-PA4029	2.6666666666666665
gene-PA1696	4	5	0	0	0	0	host	pscO	1.5
gene-PA4144	9	2	0	0	0	0	host	gene-PA4144	1.8333333333333333
gene-PA3035	7	4	2	1	1	0	host	gene-PA3035	2.5
gene-PA5247	10	11	0	0	2	0	host	gene-PA5247	3.8333333333333335
gene-PA0697	7	3	2	8	2	5	host	gene-PA0697	4.5
gene-PA3378	4	3	0	0	0	0	host	gene-PA3378	1.1666666666666667
gene-PA5190	6	6	0	0	5	6	host	gene-PA5190	3.8333333333333335
gene-PA4087	12	4	0	3	1	0	host	gene-PA4087	3.3333333333333335
gene-PA1958	4	8	1	1	0	0	host	gene-PA1958	2.3333333333333335
gene-PA2272	10	14	2	0	1	0	host	pbpC	4.5
gene-PHIKZ274	0	1	736	687	616	615	phage	gene-PHIKZ274	442.5
gene-PA0435	23	3	1	0	0	1	host	gene-PA0435	4.666666666666667
gene-PA1040	3	2	0	0	2	1	host	gene-PA1040	1.3333333333333333
gene-PA1813	3	6	1	1	0	1	host	gene-PA1813	2.0
gene-PA3012	1	7	8	6	3	5	host	gene-PA3012	5.0
gene-PA4823	5	0	0	0	0	0	host	gene-PA4823	0.8333333333333334
gene-PA3856	1	1	0	1	0	0	host	gene-PA3856	0.5
gene-PA2951	10	32	27	30	46	46	host	etfA	31.833333333333332
gene-PA3732	11	24	1	0	3	3	host	gene-PA3732	7.0
gene-PA0810	5	2	0	0	0	0	host	gene-PA0810	1.1666666666666667
gene-PA2370	4	4	0	0	0	0	host	gene-PA2370	1.3333333333333333
gene-PA3611	6	6	8	10	9	6	host	gene-PA3611	7.5
gene-PHIKZ_p88	0	2	41	44	340	367	phage	gene-PHIKZ_p88	132.33333333333334
gene-PA4991	11	10	0	0	1	0	host	gene-PA4991	3.6666666666666665
gene-PHIKZ099	1	1	403	378	24984	25110	phage	gene-PHIKZ099	8479.5
gene-PA3445	6	7	0	0	0	2	host	gene-PA3445	2.5
gene-PHIKZ275	0	1	2965	2975	2729	2779	phage	gene-PHIKZ275	1908.1666666666667
gene-PA5170	24	11	6	3	3	6	host	arcD	8.833333333333334
gene-PA4382	8	6	0	0	0	1	host	gene-PA4382	2.5
gene-PA4581.1	0	3	0	0	0	0	host	gene-PA4581.1	0.5
gene-PA4042	4	6	0	0	0	0	host	xseB	1.6666666666666667
gene-PA3181	2	7	1	0	1	0	host	gene-PA3181	1.8333333333333333
gene-PA0893	3	11	3	3	1	2	host	argR	3.8333333333333335
gene-PHIKZ200	0	0	238	211	13043	12559	phage	gene-PHIKZ200	4341.833333333333
gene-PA4925	4	4	0	0	0	0	host	gene-PA4925	1.3333333333333333
gene-PA3402	6	15	3	2	7	1	host	gene-PA3402	5.666666666666667
gene-PA0306a	22	13	2	3	2	1	host	gene-PA0306a	7.166666666666667
gene-PA0486	14	3	0	1	0	0	host	gene-PA0486	3.0
gene-PA5004	22	66	3	2	2	2	host	gene-PA5004	16.166666666666668
gene-PA5356	12	10	0	1	3	2	host	glcC	4.666666666666667
gene-PA2308	8	4	0	0	0	0	host	gene-PA2308	2.0
gene-PA0195	18	9	0	0	1	0	host	pntAA	4.666666666666667
gene-PA2772	6	16	2	1	1	0	host	gene-PA2772	4.333333333333333
gene-PA2429	0	0	0	0	0	0	host	gene-PA2429	0.0
gene-PA0539	6	4	0	0	0	0	host	gene-PA0539	1.6666666666666667
gene-PA3128	4	2	1	0	0	0	host	gene-PA3128	1.1666666666666667
gene-PA0090	45	12	7	9	2	7	host	clpV1	13.666666666666666
gene-PA5005	37	86	16	12	12	12	host	gene-PA5005	29.166666666666668
gene-PA0776	3	3	0	1	0	0	host	gene-PA0776	1.1666666666666667
gene-PA0509	13	6	0	0	2	1	host	nirN	3.6666666666666665
gene-PA1482	2	5	0	0	0	2	host	ccmH	1.5
gene-PA0800	2	4	0	0	0	0	host	gene-PA0800	1.0
gene-PHIKZ261	0	0	13052	13057	4910	4768	phage	gene-PHIKZ261	5964.5
gene-PHIKZ_p20	1	0	1476	1561	1133	1214	phage	gene-PHIKZ_p20	897.5
gene-PA0874	2	3	2	2	3	2	host	gene-PA0874	2.3333333333333335
gene-PA5400	8	2	32	49	61	29	host	gene-PA5400	30.166666666666668
gene-PA2501	1	4	6	4	12	9	host	gene-PA2501	6.0
gene-PA1517	1	3	2	0	3	1	host	gene-PA1517	1.6666666666666667
gene-PA3536	10	10	1	0	0	1	host	gene-PA3536	3.6666666666666665
gene-PA2300	4	2	0	0	1	3	host	chiC	1.6666666666666667
gene-PA1133	0	2	0	0	0	0	host	gene-PA1133	0.3333333333333333
gene-PA2113	6	4	0	0	2	3	host	opdO	2.5
gene-PA2030	1	1	0	0	1	0	host	gene-PA2030	0.5
gene-PA2952	9	36	37	42	57	62	host	etfB	40.5
gene-PA4637a	3	7	5	6	5	10	host	gene-PA4637a	6.0
gene-PA3362	7	4	3	1	1	0	host	gene-PA3362	2.6666666666666665
gene-PA5024	11	5	0	0	1	1	host	gene-PA5024	3.0
gene-PA3466	15	14	1	0	1	6	host	gene-PA3466	6.166666666666667
gene-PA1055	5	3	1	1	0	1	host	gene-PA1055	1.8333333333333333
gene-PA5385	2	0	0	0	0	4	host	cdhB	1.0
gene-PA2841	2	2	0	0	2	2	host	gene-PA2841	1.3333333333333333
gene-PA1063	2	1	0	0	0	0	host	gene-PA1063	0.5
gene-PA4752	7	12	13	7	3	3	host	ftsJ	7.5
gene-PA0458	24	15	1	1	0	1	host	gene-PA0458	7.0
gene-PA3629	28	34	8	4	6	1	host	adhC	13.5
gene-PA0896	10	22	4	3	3	2	host	aruF	7.333333333333333
gene-PA5317	27	14	12	19	18	24	host	gene-PA5317	19.0
gene-PA1873	4	6	0	0	2	0	host	gene-PA1873	2.0
gene-PA3657	21	62	8	5	8	4	host	map	18.0
gene-PA0379	10	8	0	0	0	0	host	gene-PA0379	3.0
gene-PA0408	20	104	23	24	44	40	host	pilG	42.5
gene-PA2453	3	9	1	0	0	0	host	gene-PA2453	2.1666666666666665
gene-PHIKZ019	1	0	1093	1006	487	431	phage	gene-PHIKZ019	503.0
gene-PA0014	8	4	1	2	1	0	host	gene-PA0014	2.6666666666666665
gene-PA3180	0	3	0	1	0	2	host	gene-PA3180	1.0
gene-PA4218	14	3	0	0	0	2	host	gene-PA4218	3.1666666666666665
gene-PA3365	6	8	0	0	0	1	host	gene-PA3365	2.5
gene-PHIKZ149	2	1	712	719	19615	19390	phage	gene-PHIKZ149	6739.833333333333
gene-PA3448	6	4	0	0	2	0	host	gene-PA3448	2.0
gene-PA2432	5	2	1	0	0	0	host	bexR	1.3333333333333333
gene-PA2211	3	0	0	0	0	0	host	gene-PA2211	0.5
gene-PHIKZ068	6	1	20027	19288	12289	12070	phage	gene-PHIKZ068	10613.5
gene-PA0875	97	9	1	1	10	6	host	gene-PA0875	20.666666666666668
gene-PA2754a	3	0	0	0	0	0	host	gene-PA2754a	0.5
gene-PA3246	11	4	1	0	0	1	host	rluA	2.8333333333333335
gene-PA2220	0	2	0	0	0	0	host	gene-PA2220	0.3333333333333333
gene-PA4902	13	4	0	0	0	1	host	gene-PA4902	3.0
gene-PA2918	3	6	0	0	0	0	host	gene-PA2918	1.5
gene-PA0658	4	4	5	16	10	19	host	gene-PA0658	9.666666666666666
gene-PA0733	6	1	1	1	0	0	host	gene-PA0733	1.5
gene-PA0880	4	1	0	0	0	0	host	gene-PA0880	0.8333333333333334
gene-PA0922	7	13	5	4	6	6	host	gene-PA0922	6.833333333333333
gene-PA1304	17	9	0	1	0	1	host	gene-PA1304	4.666666666666667
gene-PHIKZ071	6	0	13581	13165	13921	13704	phage	gene-PHIKZ071	9062.833333333334
gene-PA4384	7	6	0	0	0	0	host	gene-PA4384	2.1666666666666665
gene-PA1460	2	3	1	0	0	0	host	motC	1.0
gene-PHIKZ042	0	0	207	185	7523	7342	phage	gene-PHIKZ042	2542.8333333333335
gene-PA2680	9	3	0	0	0	0	host	gene-PA2680	2.0
gene-PA1637	7	1	1	0	1	0	host	kdpE	1.6666666666666667
gene-PA2339	3	6	0	0	0	0	host	gene-PA2339	1.5
gene-PA3563	11	7	1	0	1	0	host	fruR	3.3333333333333335
gene-PA1324.1	2	7	1	0	0	0	host	gene-PA1324.1	1.6666666666666667
gene-PA4726.1	2	1	2	0	0	0	host	gene-PA4726.1	0.8333333333333334
gene-PA3082	16	18	6	10	9	10	host	gbt	11.5
gene-PA3209	5	9	0	0	0	0	host	gene-PA3209	2.3333333333333335
gene-PA1880	8	7	0	1	1	1	host	gene-PA1880	3.0
gene-PHIKZ100	0	0	519	523	23619	24299	phage	gene-PHIKZ100	8160.0
gene-PA1073	8	2	13	13	8	8	host	braD	8.666666666666666
gene-PA1295	5	3	0	0	0	0	host	gene-PA1295	1.3333333333333333
gene-PA3300	14	9	2	2	4	3	host	fadD2	5.666666666666667
gene-PA3994	8	3	0	0	0	0	host	gene-PA3994	1.8333333333333333
gene-PA4911	19	2	0	0	1	0	host	gene-PA4911	3.6666666666666665
gene-PA2713	1	0	0	0	0	0	host	gene-PA2713	0.16666666666666666
gene-PA5187	16	2	0	4	0	1	host	gene-PA5187	3.8333333333333335
gene-PA2181	5	3	3	0	1	0	host	gene-PA2181	2.0
gene-PA1978	5	2	1	0	1	1	host	gene-PA1978	1.6666666666666667
gene-PA0068	5	5	2	1	0	0	host	gene-PA0068	2.1666666666666665
gene-PA5516	10	12	2	0	3	2	host	pdxY	4.833333333333333
gene-PA1942	5	3	1	3	3	5	host	gene-PA1942	3.3333333333333335
gene-PA2487	3	2	0	0	0	0	host	gene-PA2487	0.8333333333333334
gene-PA4654	13	4	33	40	159	78	host	gene-PA4654	54.5
gene-PA1555	3	4	3	6	3	5	host	ccoP2	4.0
gene-PA2387	4	8	1	0	0	1	host	fpvI	2.3333333333333335
gene-PA4620	4	5	0	0	0	1	host	gene-PA4620	1.6666666666666667
gene-PA1423	7	5	1	1	0	0	host	bdlA	2.3333333333333335
gene-PA0838	5	4	2	3	2	2	host	gene-PA0838	3.0
gene-PA3605	10	8	0	0	0	0	host	gene-PA3605	3.0
gene-PHIKZ146	3	0	7848	7835	347795	341576	phage	gene-PHIKZ146	117509.5
gene-PA0727	13	6	1	1	44	31	host	gene-PA0727	16.0
gene-PA3965	7	4	4	3	3	3	host	gene-PA3965	4.0
gene-PA1597	4	5	1	0	0	1	host	gene-PA1597	1.8333333333333333
gene-PA1126	10	7	1	0	1	0	host	gene-PA1126	3.1666666666666665
gene-PA3847	2	2	0	0	1	1	host	gene-PA3847	1.0
gene-PA3822	9	24	33	33	22	21	host	gene-PA3822	23.666666666666668
gene-PHIKZ135	1	0	791	804	51701	50768	phage	gene-PHIKZ135	17344.166666666668
gene-PA4264	37	402	249	249	197	189	host	rpsJ	220.5
gene-PA2697	2	0	0	0	0	0	host	gene-PA2697	0.3333333333333333
gene-PA2751	6	2	1	2	0	0	host	gene-PA2751	1.8333333333333333
gene-PA4115	33	12	2	2	3	7	host	gene-PA4115	9.833333333333334
gene-PA3974	29	22	3	4	3	5	host	ladS	11.0
gene-PA4035	17	7	1	0	1	0	host	gene-PA4035	4.333333333333333
gene-PHIKZ048	1	0	170	176	346	339	phage	gene-PHIKZ048	172.0
gene-PA0032a	2	4	0	0	0	0	host	gene-PA0032a	1.0
gene-PA5451	15	4	1	3	0	1	host	wzm	4.0
gene-PA0605	12	6	3	1	0	3	host	gene-PA0605	4.166666666666667
gene-PA5492	11	23	1	1	3	2	host	gene-PA5492	6.833333333333333
gene-PHIKZ027	1	0	2717	2601	247683	244786	phage	gene-PHIKZ027	82964.66666666667
gene-PA3791	7	6	1	0	0	0	host	gene-PA3791	2.3333333333333335
gene-PA0437	26	9	0	2	0	0	host	codA	6.166666666666667
gene-PA3346	15	8	0	1	1	0	host	gene-PA3346	4.166666666666667
gene-PA3799	20	61	3	4	3	4	host	gene-PA3799	15.833333333333334
gene-PA2726	2	0	0	1	0	0	host	gene-PA2726	0.5
gene-PA0705	5	20	7	5	3	8	host	migA	8.0
gene-PA2621	8	84	44	36	56	45	host	gene-PA2621	45.5
gene-PHIKZ_p44	0	0	86	78	7200	7123	phage	gene-PHIKZ_p44	2414.5
gene-PA0673	0	0	15	15	16	23	host	gene-PA0673	11.5
gene-PA3440	6	5	31	27	12	7	host	gene-PA3440	14.666666666666666
gene-PHIKZ272	2	1	10719	10385	8826	8496	phage	gene-PHIKZ272	6404.833333333333
gene-PA2404	3	1	0	0	0	0	host	gene-PA2404	0.6666666666666666
gene-PA3031	20	14	81	72	63	59	host	gene-PA3031	51.5
gene-PA4610	1	0	1	0	0	0	host	gene-PA4610	0.3333333333333333
gene-PA1563	3	14	0	0	0	0	host	gene-PA1563	2.8333333333333335
gene-PA2718	1	4	0	0	1	1	host	gene-PA2718	1.1666666666666667
gene-PA1117	6	7	0	0	0	0	host	gene-PA1117	2.1666666666666665
gene-PA5526	6	11	4	3	12	5	host	gene-PA5526	6.833333333333333
gene-PA0549	11	27	0	0	0	2	host	gene-PA0549	6.666666666666667
gene-PA3535	26	8	1	3	1	1	host	gene-PA3535	6.666666666666667
gene-PA0357	18	26	0	0	0	0	host	mutM	7.333333333333333
gene-PA3887	18	15	7	5	9	12	host	nhaP	11.0
gene-PA4634	9	1	3	5	8	3	host	gene-PA4634	4.833333333333333
gene-PA2118	2	8	0	1	2	0	host	ada	2.1666666666666665
gene-PA4685	2	1	45	70	106	145	host	gene-PA4685	61.5
gene-PA3646	16	64	15	19	14	14	host	lpxD	23.666666666666668
gene-PA1619	4	4	0	2	0	0	host	gene-PA1619	1.6666666666666667
gene-PA2023	14	29	9	8	11	15	host	galU	14.333333333333334
gene-PA4735	57	27	15	12	32	28	host	gene-PA4735	28.5
gene-PHIKZ127	0	0	138	129	9994	9871	phage	gene-PHIKZ127	3355.3333333333335
gene-PA1591	7	9	0	0	0	0	host	gene-PA1591	2.6666666666666665
gene-PA3423	7	9	0	0	0	0	host	gene-PA3423	2.6666666666666665
gene-PA3682	4	6	0	0	0	0	host	gene-PA3682	1.6666666666666667
gene-PA3655	43	158	12	9	10	10	host	tsf	40.333333333333336
gene-PA2541	4	10	1	2	1	2	host	gene-PA2541	3.3333333333333335
gene-PA2227	4	11	19	20	17	16	host	vqsM	14.5
gene-PA2802	2	14	2	2	3	1	host	gene-PA2802	4.0
gene-PA2999	15	39	20	15	19	19	host	nqrA	21.166666666666668
gene-PA3842	8	19	1	2	2	2	host	gene-PA3842	5.666666666666667
gene-PA2250	4	4	0	0	0	1	host	lpdV	1.5
gene-PA4346	3	2	0	0	0	1	host	gene-PA4346	1.0
gene-PA0276	8	5	0	0	5	1	host	gene-PA0276	3.1666666666666665
gene-PA4613	7	3	0	0	2	2	host	katB	2.3333333333333335
gene-PA2390	18	9	0	1	0	0	host	pvdT	4.666666666666667
gene-PA2651	10	11	3	0	3	0	host	gene-PA2651	4.5
gene-PA1228	5	10	2	3	1	2	host	gene-PA1228	3.8333333333333335
gene-PA3006	9	44	4	3	10	6	host	psrA	12.666666666666666
gene-PA1364	5	2	0	0	0	1	host	gene-PA1364	1.3333333333333333
gene-PA5461	2	18	1	0	0	0	host	gene-PA5461	3.5
gene-PHIKZ033	0	0	182	165	1809	1824	phage	gene-PHIKZ033	663.3333333333334
gene-PA3750	8	8	0	0	0	0	host	gene-PA3750	2.6666666666666665
gene-PA4942	22	57	12	13	9	8	host	hflK	20.166666666666668
gene-PA1342	5	8	32	28	5	5	host	gene-PA1342	13.833333333333334
gene-PA3561	7	6	0	0	0	0	host	fruK	2.1666666666666665
gene-PA0261	7	2	0	0	1	1	host	gene-PA0261	1.8333333333333333
gene-PA4297	17	7	3	3	5	7	host	tadG	7.0
gene-PA2223	6	5	15	14	12	7	host	gene-PA2223	9.833333333333334
gene-PA0010	3	4	0	0	0	0	host	tag	1.1666666666666667
gene-PA5372	19	24	44	43	76	65	host	betA	45.166666666666664
gene-PA4007	20	36	3	2	1	1	host	proA	10.5
gene-PA5268	17	9	4	3	1	2	host	corA	6.0
gene-PA0817	4	2	0	0	0	0	host	gene-PA0817	1.0
gene-PA2271	1	3	0	0	0	0	host	gene-PA2271	0.6666666666666666
gene-PA2928	7	3	1	0	0	0	host	gene-PA2928	1.8333333333333333
gene-PA5300	35	156	17	12	19	12	host	cycB	41.833333333333336
gene-PA1804	107	524	49	56	62	69	host	hupB	144.5
gene-PA4143	27	6	2	3	1	4	host	gene-PA4143	7.166666666666667
gene-PA5270	15	10	1	1	1	2	host	gene-PA5270	5.0
gene-PA0067	30	17	5	3	3	5	host	prlC	10.5
gene-PA0504	5	6	0	0	0	0	host	bioD	1.8333333333333333
gene-PA1193	6	6	0	2	3	1	host	gene-PA1193	3.0
gene-PA1646	11	7	0	1	0	0	host	gene-PA1646	3.1666666666666665
gene-PA4549	5	2	0	0	2	1	host	fimT	1.6666666666666667
gene-PA1535	4	6	1	2	0	0	host	gene-PA1535	2.1666666666666665
gene-PA1135	9	4	2	2	2	2	host	gene-PA1135	3.5
gene-PA2890	4	3	0	0	0	1	host	atuE	1.3333333333333333
gene-PA1374	1	0	2	3	8	14	host	gene-PA1374	4.666666666666667
gene-PA4850	11	23	0	0	2	0	host	prmA	6.0
gene-PA2034	3	1	0	0	0	0	host	gene-PA2034	0.6666666666666666
gene-PA2356	8	0	0	0	1	1	host	msuD	1.6666666666666667
gene-PA4102	14	5	0	1	4	1	host	bfmS	4.166666666666667
gene-PA2905	7	10	0	0	0	0	host	cobH	2.8333333333333335
gene-PA0542	6	5	0	2	2	2	host	gene-PA0542	2.8333333333333335
gene-PA1300	0	6	0	1	0	1	host	gene-PA1300	1.3333333333333333
gene-PA1381	5	3	0	0	2	0	host	gene-PA1381	1.6666666666666667
gene-PA1109	5	6	0	0	0	0	host	gene-PA1109	1.8333333333333333
gene-PA3832	5	5	1	1	1	0	host	holC	2.1666666666666665
gene-PA1138	5	3	1	0	2	3	host	gene-PA1138	2.3333333333333335
gene-PA0505	1	4	1	1	0	0	host	gene-PA0505	1.1666666666666667
gene-PA2602	0	1	0	0	1	1	host	gene-PA2602	0.5
gene-PA4900	16	6	0	0	0	0	host	gene-PA4900	3.6666666666666665
gene-PA0403	7	10	1	1	0	1	host	pyrR	3.3333333333333335
gene-PA3985	5	5	0	0	1	0	host	gene-PA3985	1.8333333333333333
gene-PA4904	11	6	0	0	0	0	host	vanA	2.8333333333333335
gene-PA1083	4	6	0	1	3	2	host	flgH	2.6666666666666665
gene-PA3058	10	6	1	0	3	1	host	pelG	3.5
gene-PA1539	4	4	0	0	1	0	host	gene-PA1539	1.5
gene-PA4651	5	1	1	2	3	7	host	gene-PA4651	3.1666666666666665
gene-PA5184	3	5	0	0	0	0	host	gene-PA5184	1.3333333333333333
gene-PA3088	7	9	0	1	3	0	host	gene-PA3088	3.3333333333333335
gene-PA1087	12	12	4	4	6	3	host	flgL	6.833333333333333
gene-PA0711	3	0	0	0	1	4	host	gene-PA0711	1.3333333333333333
gene-PA0718	2	2	1	0	18	29	host	gene-PA0718	8.666666666666666
gene-PA1509	4	21	26	28	27	21	host	gene-PA1509	21.166666666666668
gene-PA5011	11	16	1	1	1	2	host	waaC	5.333333333333333
gene-PA0958	24	99	221	214	169	147	host	oprD	145.66666666666666
gene-PA2748	1	3	1	5	1	2	host	gene-PA2748	2.1666666666666665
gene-PA3200	9	8	0	0	0	0	host	gene-PA3200	2.8333333333333335
gene-PA1671	5	2	0	0	0	0	host	stk1	1.1666666666666667
gene-PA3101	4	2	0	1	4	0	host	xcpT	1.8333333333333333
gene-PA0295	23	5	10	0	7	3	host	gene-PA0295	8.0
gene-PA0304	9	9	1	1	1	1	host	spuH	3.6666666666666665
gene-PA3948	5	8	4	3	10	10	host	rocA1	6.666666666666667
gene-PA3377	9	3	0	0	0	0	host	gene-PA3377	2.0
gene-PA1983	5	4	0	0	0	0	host	exaB	1.5
gene-PHIKZ105	1	3	1463	1417	1390	1381	phage	gene-PHIKZ105	942.5
gene-PA3618	7	11	0	0	1	0	host	gene-PA3618	3.1666666666666665
gene-PA1797	7	6	0	0	2	0	host	gene-PA1797	2.5
gene-PA0823	3	2	0	0	1	0	host	gene-PA0823	1.0
gene-PA4713	1	0	0	0	1	1	host	gene-PA4713	0.5
gene-PA1940	13	7	16	6	10	12	host	gene-PA1940	10.666666666666666
gene-PA0439	22	4	1	1	0	0	host	gene-PA0439	4.666666666666667
gene-PA3728	52	48	5	5	3	2	host	gene-PA3728	19.166666666666668
gene-PA5261	5	9	3	4	5	7	host	algR	5.5
gene-PA1995	1	5	0	0	0	0	host	gene-PA1995	1.0
gene-PA0279	8	6	0	0	0	0	host	gene-PA0279	2.3333333333333335
gene-PHIKZ123	3	6	14143	13910	13821	13492	phage	gene-PHIKZ123	9229.166666666666
gene-PA3795	15	10	4	4	1	3	host	gene-PA3795	6.166666666666667
gene-PA2575	4	9	3	3	2	1	host	gene-PA2575	3.6666666666666665
gene-PA1596	30	72	119	109	24	25	host	htpG	63.166666666666664
gene-PA4973	23	19	6	4	6	3	host	thiC	10.166666666666666
gene-PA4070	8	5	0	0	1	0	host	gene-PA4070	2.3333333333333335
gene-PA4160	7	1	0	0	1	0	host	fepD	1.5
gene-PA4993	6	8	0	0	1	0	host	gene-PA4993	2.5
gene-PA4128	9	2	0	0	1	1	host	gene-PA4128	2.1666666666666665
gene-PA1227	7	9	0	0	0	2	host	gene-PA1227	3.0
gene-PA5274	34	36	0	0	3	0	host	rnk	12.166666666666666
gene-PA0324	21	6	0	0	0	0	host	gene-PA0324	4.5
gene-PA4644	6	14	2	2	0	0	host	gene-PA4644	4.0
gene-PA3818	33	71	20	17	12	11	host	gene-PA3818	27.333333333333332
gene-PA3194	14	28	1	3	5	1	host	edd	8.666666666666666
gene-PA1375	5	20	2	1	0	0	host	pdxB	4.666666666666667
gene-PA3947	23	7	0	4	3	0	host	rocR	6.166666666666667
gene-PA4498	20	10	1	2	1	2	host	gene-PA4498	6.0
gene-PA1515	8	4	5	4	3	3	host	alc	4.5
gene-PA4699	7	16	48	48	43	46	host	gene-PA4699	34.666666666666664
gene-PA2427	2	0	0	0	0	0	host	gene-PA2427	0.3333333333333333
gene-PA2503	4	5	1	0	2	1	host	gene-PA2503	2.1666666666666665
gene-PA1841	3	7	0	0	0	1	host	gene-PA1841	1.8333333333333333
gene-PA0329	13	24	3	3	6	10	host	gene-PA0329	9.833333333333334
gene-PA5115	7	3	0	0	1	0	host	gene-PA5115	1.8333333333333333
gene-PA1237	6	1	0	0	0	1	host	gene-PA1237	1.3333333333333333
gene-PA4805	16	8	0	0	0	1	host	gene-PA4805	4.166666666666667
gene-PA5357	8	2	4	2	2	7	host	gene-PA5357	4.166666666666667
gene-PA0004	48	119	43	43	66	63	host	gyrB	63.666666666666664
gene-PA2025	6	6	2	0	2	1	host	gor	2.8333333333333335
gene-PA3602	18	21	25	19	17	23	host	gene-PA3602	20.5
gene-PA2488	7	4	0	0	1	1	host	gene-PA2488	2.1666666666666665
gene-PA1659	2	0	0	0	0	0	host	gene-PA1659	0.3333333333333333
gene-PA2083	8	6	2	1	1	1	host	gene-PA2083	3.1666666666666665
gene-PA4862	4	4	0	0	1	1	host	gene-PA4862	1.6666666666666667
gene-PA4758	18	74	7	3	8	6	host	carA	19.333333333333332
gene-PA4493	7	12	3	2	0	0	host	roxR	4.0
gene-PA0873	11	18	3	4	5	3	host	phhR	7.333333333333333
gene-PA5100	10	4	0	0	0	1	host	hutU	2.5
gene-PA3169	12	25	2	3	3	2	host	gene-PA3169	7.833333333333333
gene-PA5289	9	5	0	0	0	0	host	gene-PA5289	2.3333333333333335
gene-PHIKZ046	0	0	10300	9937	12482	12336	phage	gene-PHIKZ046	7509.166666666667
gene-PA0155	12	13	9	6	10	7	host	pcaR	9.5
gene-PA3468	13	15	1	1	1	3	host	gene-PA3468	5.666666666666667
gene-PA0296	22	27	13	12	15	10	host	spuI	16.5
gene-PA0024	17	20	2	5	2	1	host	hemF	7.833333333333333
gene-PA0072	16	4	0	0	0	0	host	gene-PA0072	3.3333333333333335
gene-PA1202	3	1	2	2	0	0	host	gene-PA1202	1.3333333333333333
gene-PA1149	2	1	2	0	2	1	host	gene-PA1149	1.3333333333333333
gene-PA3325	7	7	0	1	0	1	host	gene-PA3325	2.6666666666666665
gene-PA2845	1	1	0	0	0	0	host	gene-PA2845	0.3333333333333333
gene-PA5545	14	9	2	1	4	1	host	gene-PA5545	5.166666666666667
gene-PA3928	2	4	0	0	0	0	host	gene-PA3928	1.0
gene-PA3226	4	4	4	5	3	5	host	gene-PA3226	4.166666666666667
gene-PA4808	13	13	0	1	6	8	host	selA	6.833333333333333
gene-PA0522	7	1	0	0	0	0	host	gene-PA0522	1.3333333333333333
gene-PA1070	1	9	2	1	0	0	host	braG	2.1666666666666665
gene-PA4658	9	7	4	8	14	10	host	gene-PA4658	8.666666666666666
gene-PA4033	6	2	0	0	0	0	host	gene-PA4033	1.3333333333333333
gene-PA2585	13	22	5	2	1	2	host	uvrC	7.5
gene-PA1349	2	3	0	0	0	0	host	gene-PA1349	0.8333333333333334
gene-PHIKZ_p74	0	0	37	41	61	61	phage	gene-PHIKZ_p74	33.333333333333336
gene-PA4821	26	8	1	2	0	0	host	gene-PA4821	6.166666666666667
gene-PHIKZ106	0	0	400	364	596	569	phage	gene-PHIKZ106	321.5
gene-PA4375	34	17	1	2	3	5	host	gene-PA4375	10.333333333333334
gene-PA4775	9	8	0	0	0	0	host	gene-PA4775	2.8333333333333335
gene-PA2360	9	3	1	0	0	0	host	gene-PA2360	2.1666666666666665
gene-PA3670	14	9	1	1	2	1	host	gene-PA3670	4.666666666666667
gene-PA2898	2	4	0	0	0	0	host	gene-PA2898	1.0
gene-PA4921	10	5	0	0	0	1	host	gene-PA4921	2.6666666666666665
gene-PA1538	12	0	0	0	1	2	host	gene-PA1538	2.5
gene-PA1475	9	18	0	0	0	0	host	ccmA	4.5
gene-PA4806	11	4	0	0	0	1	host	gene-PA4806	2.6666666666666665
gene-PA3763	36	70	3	3	7	6	host	purL	20.833333333333332
gene-PA3022	6	10	0	1	0	0	host	gene-PA3022	2.8333333333333335
gene-PA3138	13	8	9	10	8	9	host	uvrB	9.5
gene-PHIKZ252	2	0	618	611	677	685	phage	gene-PHIKZ252	432.1666666666667
gene-PA1798	18	7	1	0	3	1	host	parS	5.0
gene-PA0081	29	34	0	1	3	3	host	fha1	11.666666666666666
gene-PA2672	2	0	0	0	0	1	host	gene-PA2672	0.5
